"Projeto";"Tipo";"Situação";"Título";"Descrição";"Data de início";"Data limite";"Atribuído para";"Lotação"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005633";"h1. drone,mewmewcat KF101 GPS RC Drone com câmera para adultos RC Drone com câmera 4K EIS Anti-shake de 3 eixos Gimbal Brushless Motor 5G Wifi Vídeo Aéreo FPV Quadcopter Pacote de mochila Smart Follow Mod

/> Foto com gestos e fotografia personalizada - Fácil de tirar uma foto ou gravar um vídeo apenas com o gesto da mão. Adicione o filtro de foto e música ao seu vídeo para fazer seu próprio MV no aplicativo. Especificações: Modelo: KF101 Câmera frontal 4K Resolução da foto: 5700 * 4275P Gimbal estabilizado de 3 eixos Ângulo do Gimbal - Vertical (Faixa de Ângulo de Ajuste) 120 ° APP / Transmissão de Imagem Sistema compatível: Andriod 5.0 ou superior, IOS 8.0 ou superior Controle remoto Controle Remoto: Frequência 2.4G Informações do pacote: Tamanho: 32,3 * 24 * 11 CM Lista de pacotes: 1 * drone RC Função: 5G Wifi FPV, gimbal estabilizado de 3 eixos, câmera aérea ultra HD 4K, efeito especial MV, retorno de GPS para casa, posicionamento de GPS, posicionamento de fluxo óptico, voo de ponto de referência, seguimento inteligente, foto de gesto, etc. Stabilized Gimbal & High-definition: O gimbal de estabilização mecânica de 3 eixos traz um efeito anti-vibração mais eficaz, filtrando facilmente a vibração da imagem causada pelo exterior. A câmera frontal de alta definição 4K, juntamente com a câmera inferior 720P, podem capturar imagens nítidas e vivas impressionantes com resolução de cores reais. Acompanhamento inteligente: Ligue a função GPS do drone e siga a função no APP. Em seguida, o drone seguirá automaticamente o movimento do controlador. 5G Wifi e Transmissão em Tempo Real: A tecnologia avançada de transmissão de sinal permite que a distância de transmissão da imagem seja tão alta quanto 500 metros, e a distância do controle remoto é tão alta quanto 1000 metros para que o vôo não seja mais limitado! A transmissão da imagem de alta definição em tempo real do sinal 5G é estável. O processo de transmissão não é atrasado e o efeito de visualização é melhor. Foto com gestos e fotografia personalizada - Fácil de tirar uma foto ou gravar um vídeo apenas com o gesto da mão. Adicione o filtro de foto e música ao seu vídeo para fazer seu próprio MV no aplicativo.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31k+m-mWbUS._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/519Danp+xeS._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/51ZY+7G4+7S._AC_.jpg!";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005634";"h1. 2.4GHz WiFi Switch Smart WiFi Replay - Wireless Remote Control Electrical for Household Appliances - Home Improvement for DIY Smart Home Automation Rock-br

☮Smart Remote Control Switch: You can check your home appliance status anytime & anywhere, and control them on/off with just a click on your smart phone or tablet viaAPP without distance/time limitation. ☮Share Control with Family: The WiFi Relay Switch allows your family to participate in the remote control of your home appliances so that you do not have to repeat the operation again and again. ☮Stands By Wherever You Are: Sharing the WiFi Relay Switch approves family members to operate it as you, freeing you from repeating operations requested. ☮Wide Applications: Most smart appliances with adopting 2.4GHz connecting mode can be controlled by the WiFi Smart Breaker Switch, bringing your life convenience. ☮DIY Smart Scene: Great for retrofitting existing home devices to improve levels of control to home automation, such as lamps, fans, sockets, DIY smart mirror project, candle warmer, etc.

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/312sYhWnNVL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/41p8Q+5nQPL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/4133lH0JrbL._AC_.jpg!";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005635";"h1. Sony Fones de ouvido intra-auriculares com fio ZX Series com microfone, MDR-ZX110AP preto

!{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31Xs28JCeQL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/415aYJuipNL._AC_.jpg! !{max-width:250px; height:auto}https://m.media-amazon.com/images/I/31+bt8UIqJL._AC_.jpg!";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005636";"h1. Transmissor receptor de áudio, receptor Bluetooth sem fio compacto tamanho 15m Transmissão de música para sistema de som doméstico";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005637";"h1. Celular Smartphone LG K9 Tv  16gb Preto 2gb Ram (Recondicionado)

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_622344-MLB52648123346_112022-F.webp!";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005638";"h1. Carregador Sem Fio Turbo  Compativel iPhone Samsung Xiaomi

O carregador por indução da renomada marca Powertech é uma verdadeira revolução em termos de tecnologia de carregamento. Projetado para oferecer a máxima conveniência e eficiência, este dispositivo combina uma série de recursos notáveis para proporcionar uma experiência de carregamento excepcional. Em primeiro lugar, a Powertech é conhecida por seu compromisso com o custo-benefício, e este carregador não é exceção. Ele oferece um preço acessível sem comprometer a qualidade ou os recursos avançados. Isso significa que você obtém um carregador de indução de alta qualidade sem gastar uma fortuna. A qualidade é uma prioridade para a Powertech, e este carregador não é exceção. Construído com materiais duráveis e com atenção aos detalhes, ele é projetado para durar. Além disso, a tecnologia de carregamento por indução garante que seu dispositivo seja carregado com eficiência e sem o desgaste que os carregadores tradicionais podem causar aos cabos. A segurança é outra característica fundamental deste carregador. Ele possui proteção contra sobrecarga, superaquecimento e curto-circuito, garantindo que seu dispositivo seja carregado com segurança em todas as circunstâncias. Você pode carregar seu smartphone ou tablet com tranquilidade, sabendo que ele está protegido. Quando se trata de velocidade, este carregador por indução não decepciona. Ele suporta o carregamento rápido, permitindo que você recarregue seu dispositivo de forma mais eficaz do que nunca. Não há mais espera demorada para que sua bateria esteja pronta para uso. Por fim, a tecnologia utilizada neste carregador é verdadeiramente ultratecnológica. Com a capacidade de carregamento sem fio, você pode simplesmente colocar seu dispositivo no carregador e deixar a magia acontecer. É uma maneira conveniente e sem complicações de manter seus dispositivos alimentados. Em resumo, o carregador por indução da Powertech oferece qualidade, segurança, carregamento rápido e tecnologia de ponta, tudo a um preço acessível. É a escolha perfeita para aqueles que desejam uma experiência de carregamento superior sem quebrar o banco. Não deixe de experimentar a conveniência e eficiência deste incrível dispositivo. LISTA DE ALGUNS MODELOS COMPATIVEL ( EM CASO DE DUVIDA SÓ ENTRAR EM CONTATO VIA CHAT) iphone 8 iphone 8 plus iphone se iphone x iphone xr iphone xs iphone xs max iphone 11 iphone 11 pro iphone pro max iphone 12 iphone 12 pro iphone 12 pro max iphone 13 iphone 13 pro iphone 13 pro max iphone 14 iphone 14 pro iphne 14 pro max iphone 15 iphone 15 pro iphone 15 pro max SAMSUNG s8 s10 s11 s20 s21 s22 s23

!{max-width:250px; height:auto}https://http2.mlstatic.com/D_NQ_NP_769131-MLB72265513488_102023-F.webp!";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005639";"h1. RC Câmera Wi-Fi, Preto 720P Câmera Wi-Fi para viagens";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005640";"h1. Amplificador Repetidor Wifi Sem Fio Wavlink 300mbps Preto

O Repetidor / Amplificador / Roteador Wavlink 300Mbps pode melhorar o sinal WiFi e expandir a cobertura resolvendo o seu problema de sinal de WiFi. Ele fornece uma taxa de WiFi de até 300Mbps para atividades da Internet, incluindo comunicação em rede jogos on-line e vídeos na rede. Equipado com duas antenas externas de alto ganho em transmissão WiFi e um chip poderoso de alto desempenho, mais leve e suave. Fornece comunicação estável e protegida. Conexão WPS : Operação fácil, basta pressionar o botão WPS no seu repetidor e, em seguida, pressione o botão WPS no seu roteador sem fio você pode facilmente aproveitar a conveniência trazida pelo Wi-Fi em dois cliques. Ele tem três modos de trabalho: Repetidor, AP e Roteador. Os usuários podem selecionar o modo correspondente de acordo com seu próprio ambiente de rede também pode alternar rápido e facilmente entre os modos repetidor, roteador e ponto de acesso (AP). indicador LED inteligente é projetado para permitir que você encontre o melhor lugar para colocar o amplificador para uma melhor expansão de sinal. Especificações: Marca: Wavlink Cor: Preto Porta de rede: 1* 10/100Mbps Porta WAN/LAN 1* 10/100Mbps Porta LAN Padrão sem fio: IEEE802.11b/g/n Taxa sem fio: 802.11b: 11Mbps 802.11g: 54Mbps 802.11n: 300Mbps Faixa de frequência: 11n: 2.412 ~ 2.484GHz Antenas externas 2X de 3Dbi Segurança sem fio: WPA/WPA22MIX WPA /PSK WPA2/PSK suporte de criptografia SSID oculto Itens na Embalagem: 1 * Repetidor Wavlink 300Mbps Novo na Caixa Lacrado. 1 * Cabo de rede RJ45 1 * Manual do usuário

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/amplificador-repetidor-wifi-sem-fio-wavlink-300mbps-preto/snsonlineexperience/14811156312/59b699ff155989c369b4928a965b156e.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/amplificador-repetidor-wifi-sem-fio-wavlink-300mbps-preto/snsonlineexperience/14811156312/ba5534eb36773e957bf05ae26a9c926c.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/amplificador-repetidor-wifi-sem-fio-wavlink-300mbps-preto/snsonlineexperience/14811156312/73271d004f90cb3ffebd9a830df803de.jpeg!";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005641";"h1. Barras De Frutas Supino Banana E Chocolate Zero Cx 16x24g - Banana Brasil

1 Caixa com 16 unidades de 24g de Barra de Frutas Zero Banana Chocolate ao Leite. INGREDIENTES: Banana-passa, cobertura sabor chocolate ao leite sem adição de açúcares (gordura vegetal, cacau natural, leite integral, alfarroba, soro de leite, edulcorante natural maltitol, emulsificantes lecitina de soja e poliglicerol polirricinoleato) e gordura de palma (sustentável). CONTÉM LEITE E DERIVADOS DE LEITE E DE SOJA. PODE CONTER NOZES. NÃO CONTÉM GLÚTEN. Benefícios: As barras de frutas da Banana Brasil reúnem os melhores ingredientes para opções nutritivas e saborosas. Com uma deliciosa cobertura de chocolate, a combinação de banana desidratada pura ou com frutas, nozes e fibras, ajuda a manter uma alimentação balanceada de forma prática e saudável. Diferenciais: Nossa receita pioneira é produzida com recheio de banana desidratada e cobertura de chocolate ao leite ou branco. Já a linha Zero complementa o mix de produtos com combinações com frutas, nozes, fibras e sementes. - 100% recheio de fruta, - Sem glúten, - Zero adição de açúcar, - Rico em potássio, fibras e vitamina B.

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/barras-de-frutas-supino-banana-e-chocolate-zero-cx-16x24g-banana-brasil/totaly/15871012427/fff606a19ae0d45e0db63251b4300b73.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/barras-de-frutas-supino-banana-e-chocolate-zero-cx-16x24g-banana-brasil/totaly/15871012427/fff606a19ae0d45e0db63251b4300b73.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/barras-de-frutas-supino-banana-e-chocolate-zero-cx-16x24g-banana-brasil/totaly/15871012427/30a5abc0da72c767faef56aed1a705c0.jpeg!";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
"Rotulagem de Dados";"Rotulagem de Dados";"Responder pesquisa";"LABEL_PACP_2024_00005642";"h1. Vaporizador de Roupas Ferro a vapor Portátil Para Passar Roupas no Cabide 110V Desamaça Fácil e Pratico - Online

A Passadeira à Vapor Portátil 110V é moderna e compacta. Prática e fácil de usar, você alcança resultados incríveis em instantes, graças ao rápido aquecimento e vapor contínuo. Indicada para passar as roupas direto do cabide, inclusive de tecidos delicados, é perfeita para viagens, afinal, as roupas ficam amassadas nas malas e com a Passadeira à Vapor elas ficam impecáveis e prontas para o uso.Com reservatório de 200ml e 800W de potência, também pode ser usada para a limpeza de estofados, almofadas e cortinas. Mais do que simplesmente passar roupas, a Passadeira à Vapor Portátil traz um novo conceito, repleto de benefícios para o seu dia a dia.CARACTERÍSTICASCaracterísticas GeraisCompacta e modernaFácil de usarBotão acionador de vapor com 2 estágiosLuz indicadora de funcionamentoSaída de vapor com 2 escovasTempo de aquecimento de 2 minutosVapor contínuoQuantidade de furos: 10Reservatório de água visível: simCom fioESPECIFICAÇÕES TÉCNICASPotência (W): 800WCapacidade do reservatório: 200 mlTensão/voltagem: 110VConteúdo da Embalagem01 Passadeira à Vapor02 EscovasDimensões do Produto:Altura total: 20cmLargura: 10cmProfundidade com Alça: 19cm

!{max-width:250px; height:auto}https://a-static.mlcdn.com.br/280x210/vaporizador-de-roupas-ferro-a-vapor-portatil-para-passar-roupas-no-cabide-110v-desamaca-facil-e-pratico-online/digitalmarcoferrari2/ferrodepassaravapor/d643f9aa0f75535180824482ea287f8a.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/vaporizador-de-roupas-ferro-a-vapor-portatil-para-passar-roupas-no-cabide-110v-desamaca-facil-e-pratico-online/digitalmarcoferrari2/ferrodepassaravapor/3d5d18951fd10ce5c88c31e1234d74fa.jpeg! !{max-width:250px; height:auto}https://a-static.mlcdn.com.br/90x90/vaporizador-de-roupas-ferro-a-vapor-portatil-para-passar-roupas-no-cabide-110v-desamaca-facil-e-pratico-online/digitalmarcoferrari2/ferrodepassaravapor/d643f9aa0f75535180824482ea287f8a.jpeg!";"29/04/2024";"31/05/2024";"jcsilva";"GR04"
